product_id,stock_quantity,reorder_level,supplier,lead_time_days,last_restock_date
P0095,64,64,Urban Supply,13,2025-11-28
P0096,177,38,TechSupplier,13,2025-11-26
P0097,269,85,TechSupplier,5,2025-02-10
P0098,304,40,Urban Supply,13,2025-06-24
P0099,177,34,Global Traders,15,2025-01-07
P0100,81,85,TechSupplier,11,2025-07-20
P0101,21,93,Direct Imports,16,2025-08-16
P0102,158,93,Prime Distribution,4,2025-12-24
P0103,408,76,Direct Imports,16,2025-01-02
P0104,469,27,Direct Imports,5,2025-05-10
P0105,436,84,Metro Wholesale,10,2025-05-08
P0106,251,36,Global Traders,7,2025-05-04
P0107,354,22,Prime Distribution,18,2025-08-20
P0108,318,93,Prime Distribution,20,2025-06-17
P0109,147,49,TechSupplier,9,2025-11-15
P0110,286,74,Prime Distribution,9,2025-01-22
P0111,181,59,Prime Distribution,15,2025-12-01
P0112,354,99,Prime Distribution,12,2025-08-15
P0113,258,30,Prime Distribution,16,2025-01-15
P0114,353,83,Prime Distribution,10,2025-11-08
P0115,55,96,Global Traders,4,2025-11-04
P0116,197,44,Urban Supply,17,2025-10-24
P0117,472,64,Urban Supply,18,2025-11-14
P0118,330,80,Urban Supply,21,2025-01-27
P0119,15,63,Metro Wholesale,18,2025-02-06
P0120,174,88,Metro Wholesale,15,2025-09-28
P0121,136,34,Prime Distribution,14,2025-07-18
P0122,287,79,Urban Supply,10,2025-10-05
P0123,42,63,Direct Imports,10,2025-05-02
P0124,67,86,TechSupplier,12,2025-11-13
P0125,141,96,TechSupplier,13,2025-12-03
P0126,381,69,Direct Imports,17,2025-02-04
P0127,253,46,Direct Imports,21,2025-04-18
P0128,209,74,Direct Imports,10,2025-11-19
P0129,124,31,TechSupplier,10,2025-04-14
P0130,21,20,Metro Wholesale,18,2025-02-22
P0131,465,34,Urban Supply,17,2025-10-18
P0132,136,91,Global Traders,6,2025-06-30
P0133,438,54,Metro Wholesale,17,2025-07-11
P0134,187,53,TechSupplier,4,2025-04-27
P0135,351,85,Prime Distribution,2,2025-02-18
P0136,266,62,Prime Distribution,21,2025-08-25
P0137,316,34,Metro Wholesale,15,2025-06-02
P0138,215,94,Direct Imports,3,2025-01-21
P0139,148,66,Urban Supply,5,2025-08-12
P0140,24,56,Direct Imports,14,2025-07-25
P0141,278,25,Prime Distribution,13,2025-07-04
P0142,499,20,TechSupplier,11,2025-10-18
P0143,323,89,Global Traders,13,2025-09-22
P0144,488,44,Urban Supply,13,2025-05-31
P0145,311,41,TechSupplier,21,2025-08-28
P0146,18,50,Global Traders,14,2025-05-20
P0147,187,20,Prime Distribution,18,2025-07-18
P0148,152,22,Global Traders,6,2025-12-15
P0149,202,77,Metro Wholesale,16,2025-06-04
P0150,63,76,Urban Supply,12,2025-06-11
