product_id,product_name,category,supplier,unit_cost,selling_price,stock_quantity,reorder_level,average_daily_sales,days_of_stock,inventory_status
P0081,Power Bank 81,Electronics,Global Traders,284.25,588.23,266,85,0.36666666666666664,725.4545454545455,HEALTHY
P0082,T-Shirt 82,Clothing,Prime Distribution,49.12,97.83,307,36,2.6,118.07692307692307,HEALTHY
P0083,Jeans 83,Clothing,Prime Distribution,59.1,102.73,12,95,0.9666666666666667,12.413793103448276,REORDER NOW
P0084,Jacket 84,Clothing,Urban Supply,55.41,85.64,335,64,0.2,1675.0,HEALTHY
P0085,Gym Bag 85,Sports,Global Traders,210.26,368.76,299,30,0.9,332.22222222222223,HEALTHY
P0086,Smartphone 86,Electronics,Global Traders,170.42,320.82,260,94,0.9333333333333333,278.57142857142856,HEALTHY
P0087,Smartphone 87,Electronics,TechSupplier,799.76,1286.84,171,31,0.36666666666666664,466.3636363636364,HEALTHY
P0088,Smartphone 88,Electronics,Direct Imports,348.56,704.32,96,81,0.6333333333333333,151.57894736842107,HEALTHY
P0089,Formal Shirt 89,Clothing,Direct Imports,64.39,120.69,438,79,2.033333333333333,215.40983606557378,HEALTHY
P0090,Dinner Set 90,Home & Kitchen,Urban Supply,338.1,472.72,413,98,1.0333333333333334,399.67741935483866,HEALTHY
P0091,Football 91,Sports,TechSupplier,28.62,47.3,96,75,0.1,960.0,HEALTHY
P0092,Mixer Grinder 92,Home & Kitchen,Prime Distribution,73.39,128.03,440,41,0.03333333333333333,13200.0,HEALTHY
P0093,USB-C Hub 93,Electronics,Metro Wholesale,803.02,1320.2,12,79,0.6333333333333333,18.947368421052634,REORDER NOW
P0094,Wireless Headphones 94,Electronics,Direct Imports,270.5,527.95,129,81,1.3333333333333333,96.75,HEALTHY
P0095,Storage Cabinet 95,Furniture,TechSupplier,465.45,730.28,64,64,0.13333333333333333,480.0,REORDER NOW
P0096,Children's Book 96,Books,Prime Distribution,21.49,41.7,177,38,0.5,354.0,HEALTHY
P0097,Business Book 97,Books,Direct Imports,23.67,32.07,269,85,0.3333333333333333,807.0,HEALTHY
P0098,Makeup Kit 98,Beauty,Urban Supply,56.12,98.42,304,40,0.3333333333333333,912.0,HEALTHY
P0099,USB-C Hub 99,Electronics,Prime Distribution,547.83,801.28,177,34,1.0333333333333334,171.29032258064515,HEALTHY
P0100,Bookshelf 100,Furniture,Metro Wholesale,170.77,339.09,81,85,0.0,,REORDER NOW
P0101,Business Book 101,Books,Direct Imports,32.56,50.12,21,93,2.933333333333333,7.159090909090909,REORDER NOW
P0102,Watch Strap 102,Accessories,Prime Distribution,129.38,181.05,158,93,0.16666666666666666,948.0,HEALTHY
P0103,Study Desk 103,Furniture,TechSupplier,172.74,365.5,408,76,1.0333333333333334,394.83870967741933,HEALTHY
P0104,Hair Serum 104,Beauty,Global Traders,100.38,172.92,469,27,0.6666666666666666,703.5,HEALTHY
P0105,Novel 105,Books,Urban Supply,34.36,52.87,436,84,0.4666666666666667,934.2857142857142,HEALTHY
P0106,Wallet 106,Accessories,Urban Supply,72.21,141.16,251,36,1.5333333333333334,163.69565217391303,HEALTHY
P0107,Hair Serum 107,Beauty,TechSupplier,95.63,138.37,354,22,0.43333333333333335,816.9230769230769,HEALTHY
P0108,Formal Shirt 108,Clothing,Metro Wholesale,86.47,144.95,318,93,1.9333333333333333,164.48275862068965,HEALTHY
P0109,Football 109,Sports,Urban Supply,27.97,58.87,147,49,0.5,294.0,HEALTHY
P0110,Sports Shorts 110,Clothing,Urban Supply,51.5,94.8,286,74,0.6333333333333333,451.5789473684211,HEALTHY
P0111,Backpack 111,Accessories,Urban Supply,163.65,238.88,181,59,1.4333333333333333,126.27906976744185,HEALTHY
P0112,Formal Shirt 112,Clothing,Direct Imports,102.95,170.08,354,99,1.0666666666666667,331.875,HEALTHY
P0113,Makeup Kit 113,Beauty,Direct Imports,28.59,38.45,258,30,0.7666666666666667,336.52173913043475,HEALTHY
P0114,Gym Bag 114,Sports,TechSupplier,76.84,159.39,353,83,1.3,271.53846153846155,HEALTHY
P0115,Tablet 115,Electronics,TechSupplier,541.95,760.95,55,96,2.8,19.642857142857142,REORDER NOW
P0116,Laptop 116,Electronics,Global Traders,605.34,1335.44,197,44,0.5333333333333333,369.375,HEALTHY
P0117,Programming Book 117,Books,Direct Imports,38.16,71.81,472,64,0.5,944.0,HEALTHY
P0118,Jeans 118,Clothing,Global Traders,17.02,24.16,330,80,0.0,,HEALTHY
P0119,Water Bottle 119,Home & Kitchen,Urban Supply,273.34,434.66,15,63,0.23333333333333334,64.28571428571428,REORDER NOW
P0120,Standing Desk 120,Furniture,Urban Supply,373.52,538.27,174,88,0.6666666666666666,261.0,HEALTHY
P0121,Self Help Book 121,Books,Urban Supply,46.33,64.61,136,34,2.033333333333333,66.88524590163935,HEALTHY
P0122,Football 122,Sports,TechSupplier,168.65,227.81,287,79,0.7666666666666667,374.3478260869565,HEALTHY
P0123,Business Book 123,Books,Prime Distribution,38.66,79.72,42,63,1.9,22.105263157894736,REORDER NOW
P0124,Jeans 124,Clothing,Direct Imports,128.77,214.64,67,86,0.06666666666666667,1005.0,REORDER NOW
P0125,Hair Serum 125,Beauty,Urban Supply,48.11,75.89,141,96,0.8333333333333334,169.2,HEALTHY
P0126,Bookshelf 126,Furniture,Prime Distribution,58.73,97.57,381,69,2.466666666666667,154.45945945945945,HEALTHY
P0127,Face Cream 127,Beauty,Global Traders,81.24,158.05,253,46,0.2,1265.0,HEALTHY
P0128,Data Science Book 128,Books,Prime Distribution,28.32,38.7,209,74,0.0,,HEALTHY
P0129,Dining Chair 129,Furniture,Global Traders,230.97,414.28,124,31,0.7333333333333333,169.0909090909091,HEALTHY
P0130,Sunglasses 130,Accessories,Urban Supply,70.11,115.73,21,20,1.3333333333333333,15.75,HEALTHY
P0131,Office Chair 131,Furniture,TechSupplier,405.28,587.19,465,34,0.23333333333333334,1992.857142857143,HEALTHY
P0132,Smart Watch 132,Electronics,Global Traders,486.72,700.07,136,91,0.6333333333333333,214.73684210526318,HEALTHY
P0133,Sneakers 133,Clothing,Global Traders,77.45,140.42,438,54,1.0333333333333334,423.87096774193543,HEALTHY
P0134,Casual Dress 134,Clothing,Direct Imports,112.85,169.62,187,53,0.36666666666666664,510.00000000000006,HEALTHY
P0135,Face Cream 135,Beauty,Direct Imports,48.97,104.87,351,85,1.7333333333333334,202.5,HEALTHY
P0136,Storage Cabinet 136,Furniture,Prime Distribution,104.12,194.4,266,62,0.1,2660.0,HEALTHY
P0137,Storage Cabinet 137,Furniture,Prime Distribution,189.24,290.23,316,34,0.23333333333333334,1354.2857142857142,HEALTHY
P0138,Football 138,Sports,Direct Imports,14.93,22.06,215,94,0.8666666666666667,248.07692307692307,HEALTHY
P0139,Laptop 139,Electronics,Direct Imports,232.08,427.4,148,66,2.0,74.0,HEALTHY
P0140,Football 140,Sports,Direct Imports,112.35,218.25,24,56,1.8,13.333333333333332,REORDER NOW
P0141,Yoga Mat 141,Sports,Direct Imports,169.09,355.52,278,25,1.5666666666666667,177.4468085106383,HEALTHY
P0142,Office Chair 142,Furniture,Metro Wholesale,301.48,427.73,499,20,0.4666666666666667,1069.2857142857142,HEALTHY
P0143,Face Wash 143,Beauty,TechSupplier,61.67,114.69,323,89,0.3,1076.6666666666667,HEALTHY
P0144,Cookware Set 144,Home & Kitchen,TechSupplier,146.94,221.96,488,44,0.0,,HEALTHY
P0145,Self Help Book 145,Books,Metro Wholesale,56.05,78.07,311,41,1.8333333333333333,169.63636363636365,HEALTHY
P0146,Novel 146,Books,Urban Supply,24.48,32.66,18,50,1.3,13.846153846153845,REORDER NOW
P0147,Tablet 147,Electronics,Prime Distribution,20.68,45.12,187,20,1.9,98.42105263157895,HEALTHY
P0148,Smart Watch 148,Electronics,Direct Imports,633.63,1242.81,152,22,0.03333333333333333,4560.0,HEALTHY
P0149,Office Chair 149,Furniture,TechSupplier,52.97,101.65,202,77,0.6,336.6666666666667,HEALTHY
P0150,Power Bank 150,Electronics,Direct Imports,443.06,662.11,63,76,0.7666666666666667,82.17391304347825,REORDER NOW
