customer_id,recency,frequency,monetary,cluster,segment
C00093,325,6,1754.5300000000002,1,Low Value
C00094,195,2,192.84,3,At Risk
C00096,4,17,5437.87,2,Loyal Customers
C00097,50,3,571.8299999999999,3,At Risk
C00098,63,5,3664.32,0,Potential Loyalists
C00099,206,6,1972.51,3,At Risk
C00100,78,5,2371.0699999999997,0,Potential Loyalists
C00101,36,6,1865.3899999999999,0,Potential Loyalists
C00102,78,7,1966.79,0,Potential Loyalists
C00103,640,2,548.69,1,Low Value
C00104,73,11,2406.1,0,Potential Loyalists
C00105,439,1,615.09,1,Low Value
C00106,138,4,458.33000000000004,3,At Risk
C00107,21,23,8775.03,4,VIP Customers
C00108,207,3,1016.85,3,At Risk
C00109,6,10,2360.83,0,Potential Loyalists
C00110,10,6,2008.39,0,Potential Loyalists
C00111,5,10,3773.51,0,Potential Loyalists
C00112,41,11,2956.83,0,Potential Loyalists
C00115,640,1,108.62,1,Low Value
C00116,70,7,1520.03,0,Potential Loyalists
C00117,118,3,958.67,3,At Risk
C00119,351,1,1217.52,1,Low Value
C00120,10,15,5617.91,2,Loyal Customers
C00121,94,4,1699.05,3,At Risk
C00122,117,5,3018.84,0,Potential Loyalists
C00124,53,4,1560.9699999999998,3,At Risk
C00125,242,1,981.06,3,At Risk
C00127,71,8,5830.9400000000005,0,Potential Loyalists
C00128,20,31,16550.48,4,VIP Customers
C00129,273,3,798.82,3,At Risk
C00131,293,3,5708.9,0,Potential Loyalists
C00132,610,1,58.14,1,Low Value
C00134,324,2,1669.3100000000002,1,Low Value
C00135,324,2,250.64,1,Low Value
C00136,79,7,1582.24,0,Potential Loyalists
C00137,157,2,1614.13,3,At Risk
C00138,90,9,2699.73,0,Potential Loyalists
C00139,25,2,1762.5,3,At Risk
C00140,3,11,7836.33,2,Loyal Customers
C00141,9,16,4338.54,2,Loyal Customers
C00143,369,2,1121.22,1,Low Value
C00144,235,4,567.68,3,At Risk
C00145,348,1,1217.52,1,Low Value
C00146,258,3,707.5899999999999,3,At Risk
C00147,310,4,1419.06,3,At Risk
C00148,164,1,722.9,3,At Risk
C00149,70,4,1376.14,3,At Risk
C00150,691,1,871.77,1,Low Value
C00151,251,13,7092.98,2,Loyal Customers
C00153,7,6,2110.12,0,Potential Loyalists
C00154,46,2,177.79000000000002,3,At Risk
C00156,83,6,3022.25,0,Potential Loyalists
C00159,536,1,680.48,1,Low Value
C00160,173,3,517.46,3,At Risk
C00161,77,4,2850.13,0,Potential Loyalists
C00163,161,4,515.3199999999999,3,At Risk
C00164,27,1,312.95,3,At Risk
C00165,188,3,477.39,3,At Risk
C00166,6,4,2091.42,0,Potential Loyalists
C00167,94,9,6911.13,2,Loyal Customers
C00168,4,27,12037.82,4,VIP Customers
C00169,6,12,3248.68,0,Potential Loyalists
C00171,205,8,3747.0099999999998,0,Potential Loyalists
C00173,45,15,6600.070000000001,2,Loyal Customers
C00175,184,4,2898.32,3,At Risk
C00178,7,6,2559.15,0,Potential Loyalists
C00179,15,17,3985.0,2,Loyal Customers
C00180,148,5,3245.61,0,Potential Loyalists
C00181,574,3,560.39,1,Low Value
C00182,2,7,1887.5500000000002,0,Potential Loyalists
C00183,307,2,275.84000000000003,1,Low Value
C00186,556,1,1026.62,1,Low Value
C00187,636,1,232.71,1,Low Value
C00188,637,1,179.38,1,Low Value
C00190,601,1,124.91,1,Low Value
C00191,39,15,9200.2,2,Loyal Customers
C00192,481,2,333.25,1,Low Value
C00193,355,3,422.04,1,Low Value
C00194,225,5,1189.6100000000001,3,At Risk
C00195,320,2,481.65000000000003,1,Low Value
C00197,234,4,970.0600000000001,3,At Risk
C00199,151,4,923.3699999999999,3,At Risk
C00200,276,2,99.63,3,At Risk
C00201,428,2,546.0799999999999,1,Low Value
C00202,108,6,2192.04,0,Potential Loyalists
C00203,296,3,2990.91,3,At Risk
C00204,62,2,1020.25,3,At Risk
C00205,15,1,120.69,3,At Risk
C00206,200,5,1070.43,3,At Risk
C00207,593,1,221.07,1,Low Value
C00208,18,11,2646.56,0,Potential Loyalists
C00209,162,6,3067.8,0,Potential Loyalists
C00210,30,3,2813.1,0,Potential Loyalists
C00211,694,1,92.69,1,Low Value
C00212,4,4,1701.9199999999998,3,At Risk
C00213,282,1,58.14,3,At Risk
C00216,354,2,682.62,1,Low Value
C00217,159,4,1805.1,3,At Risk
C00218,51,13,6219.86,2,Loyal Customers
C00219,257,2,601.44,3,At Risk
C00220,4,19,7740.83,2,Loyal Customers
C00221,3,14,4346.7,2,Loyal Customers
C00222,19,13,3328.83,0,Potential Loyalists
C00223,1,4,1601.57,3,At Risk
C00224,244,1,335.58,3,At Risk
C00226,17,4,5531.95,0,Potential Loyalists
C00227,382,3,662.25,1,Low Value
C00228,26,19,5785.28,2,Loyal Customers
C00229,32,17,9755.93,2,Loyal Customers
C00230,48,3,933.6399999999999,3,At Risk
C00231,355,1,175.47,1,Low Value
C00234,250,3,1322.8,3,At Risk
C00235,84,4,1380.08,3,At Risk
C00236,28,9,3318.7599999999998,0,Potential Loyalists
C00237,39,2,413.66,3,At Risk
C00238,48,16,5453.17,2,Loyal Customers
C00239,95,3,307.7,3,At Risk
C00240,9,11,2577.87,0,Potential Loyalists
C00241,234,1,828.18,3,At Risk
C00242,34,11,4045.48,0,Potential Loyalists
C00243,25,8,3940.69,0,Potential Loyalists
C00246,116,6,1712.1799999999998,3,At Risk
C00248,127,2,873.6,3,At Risk
C00249,143,2,374.74,3,At Risk
C00250,56,6,1821.86,0,Potential Loyalists
C00251,286,6,1632.27,3,At Risk
C00252,189,4,1084.3600000000001,3,At Risk
C00253,19,5,1899.19,0,Potential Loyalists
C00254,20,18,5808.5,2,Loyal Customers
C00255,56,13,10493.4,2,Loyal Customers
C00256,56,9,2517.66,0,Potential Loyalists
C00257,497,2,4054.73,1,Low Value
C00258,448,1,139.63,1,Low Value
C00259,248,5,722.22,3,At Risk
C00260,206,2,1181.57,3,At Risk
C00262,225,3,170.32,3,At Risk
C00263,581,1,319.57,1,Low Value
C00264,522,2,326.83000000000004,1,Low Value
C00265,15,10,4820.7,0,Potential Loyalists
C00266,160,1,340.16,3,At Risk
C00267,157,5,613.27,3,At Risk
C00268,51,14,4019.17,2,Loyal Customers
C00269,150,1,117.58,3,At Risk
C00270,98,5,1133.59,3,At Risk
C00271,8,20,9598.6,4,VIP Customers
C00272,16,21,8236.49,2,Loyal Customers
C00273,270,2,293.11,3,At Risk
C00274,56,1,151.68,3,At Risk
C00275,566,1,112.34,1,Low Value
C00276,345,4,1293.75,1,Low Value
C00277,23,4,1102.23,3,At Risk
C00278,18,8,3359.56,0,Potential Loyalists
C00279,336,2,520.84,1,Low Value
C00281,148,4,799.7,3,At Risk
C00282,50,5,1794.67,3,At Risk
C00283,66,6,1523.79,3,At Risk
C00284,448,3,613.45,1,Low Value
C00285,242,1,1394.83,3,At Risk
C00286,123,4,3747.42,0,Potential Loyalists
C00287,110,1,1346.27,3,At Risk
C00288,9,2,1148.24,3,At Risk
C00292,132,1,25.53,3,At Risk
C00293,183,9,3424.0499999999997,0,Potential Loyalists
C00295,98,7,2545.3199999999997,0,Potential Loyalists
C00296,30,6,3909.09,0,Potential Loyalists
C00297,205,3,1360.68,3,At Risk
C00298,17,21,9612.54,4,VIP Customers
C00300,42,7,3608.73,0,Potential Loyalists
C00301,19,17,9339.72,2,Loyal Customers
C00302,48,8,1757.3600000000001,0,Potential Loyalists
C00303,121,3,1043.34,3,At Risk
C00304,80,2,422.89,3,At Risk
C00305,265,1,185.51,3,At Risk
C00306,85,4,1225.9499999999998,3,At Risk
C00307,56,4,984.8900000000001,3,At Risk
C00308,5,2,104.33,3,At Risk
C00309,162,5,3409.56,0,Potential Loyalists
C00310,174,4,621.35,3,At Risk
C00311,291,5,1045.02,3,At Risk
C00312,29,6,1289.61,3,At Risk
C00313,116,8,2249.39,0,Potential Loyalists
C00315,442,1,59.04,1,Low Value
C00316,167,1,427.61,3,At Risk
C00317,165,4,656.98,3,At Risk
C00318,41,11,6147.6,2,Loyal Customers
C00319,2,9,1887.68,0,Potential Loyalists
C00320,1,4,2163.84,0,Potential Loyalists
C00321,268,2,287.11,3,At Risk
C00323,168,3,2791.2200000000003,3,At Risk
C00325,100,3,837.11,3,At Risk
C00327,91,4,1429.0300000000002,3,At Risk
C00329,67,11,3087.43,0,Potential Loyalists
C00330,123,10,4811.650000000001,0,Potential Loyalists
C00331,454,1,287.01,1,Low Value
C00332,472,2,1580.71,1,Low Value
C00333,88,4,1955.55,3,At Risk
C00334,74,1,295.56,3,At Risk
C00335,247,7,4850.55,0,Potential Loyalists
C00336,1,6,1437.4,0,Potential Loyalists
C00337,61,4,676.32,3,At Risk
C00338,25,6,1248.1399999999999,3,At Risk
C00339,75,5,2381.27,0,Potential Loyalists
C00340,1,15,6025.26,2,Loyal Customers
C00341,16,12,5439.8,2,Loyal Customers
C00342,184,2,1218.16,3,At Risk
C00344,232,4,1131.88,3,At Risk
C00346,71,6,2245.17,0,Potential Loyalists
C00347,93,3,1125.65,3,At Risk
C00348,462,1,123.02,1,Low Value
C00349,91,1,62.06,3,At Risk
C00350,4,3,1121.8200000000002,3,At Risk
C00351,158,6,2914.85,0,Potential Loyalists
C00352,75,3,1114.6399999999999,3,At Risk
C00353,119,5,944.62,3,At Risk
C00354,364,4,784.35,1,Low Value
C00355,259,4,777.29,3,At Risk
C00356,285,3,1551.32,3,At Risk
C00357,41,6,1104.16,3,At Risk
C00359,430,2,152.58999999999997,1,Low Value
C00360,202,3,988.3399999999999,3,At Risk
C00361,11,3,629.52,3,At Risk
C00362,26,14,4873.59,2,Loyal Customers
C00364,33,1,474.24,3,At Risk
C00365,288,3,486.04,3,At Risk
C00366,25,8,5249.58,0,Potential Loyalists
C00367,302,1,99.63,1,Low Value
C00368,493,2,411.5,1,Low Value
C00369,65,10,4390.23,0,Potential Loyalists
C00370,121,1,539.26,3,At Risk
C00371,163,2,245.79000000000002,3,At Risk
C00372,50,3,754.78,3,At Risk
C00373,59,10,1845.81,0,Potential Loyalists
C00375,507,1,242.74,1,Low Value
C00376,97,11,4189.81,0,Potential Loyalists
C00377,480,2,839.9200000000001,1,Low Value
C00378,292,1,120.69,3,At Risk
C00379,370,5,1728.48,1,Low Value
C00380,10,3,1491.13,3,At Risk
C00381,87,3,2090.64,3,At Risk
C00382,80,5,1910.06,3,At Risk
C00383,12,14,7956.79,2,Loyal Customers
C00385,101,9,1500.71,0,Potential Loyalists
C00386,245,6,4828.66,0,Potential Loyalists
C00388,328,6,1777.07,1,Low Value
C00390,5,30,7463.39,4,VIP Customers
C00391,39,10,4300.97,0,Potential Loyalists
C00392,697,1,1293.62,1,Low Value
C00393,230,2,1582.23,3,At Risk
C00394,250,2,211.68,3,At Risk
C00395,395,3,252.45,1,Low Value
C00396,89,3,1070.43,3,At Risk
C00397,70,2,1167.78,3,At Risk
C00398,128,4,419.25,3,At Risk
C00400,22,19,7584.6900000000005,2,Loyal Customers
C00401,8,7,3183.1000000000004,0,Potential Loyalists
C00402,298,2,752.84,3,At Risk
C00403,6,13,4335.02,2,Loyal Customers
C00406,42,5,2216.02,0,Potential Loyalists
C00407,191,2,236.72,3,At Risk
C00408,219,3,485.59000000000003,3,At Risk
C00409,203,11,3580.25,0,Potential Loyalists
C00410,23,27,13876.28,4,VIP Customers
C00411,56,6,5052.78,0,Potential Loyalists
C00412,33,2,1592.7,3,At Risk
C00413,682,1,283.82,1,Low Value
C00415,169,6,1159.4099999999999,3,At Risk
C00416,63,2,1439.52,3,At Risk
C00417,249,1,298.9,3,At Risk
C00419,53,10,5554.13,2,Loyal Customers
C00420,468,1,268.02,1,Low Value
C00421,206,5,716.13,3,At Risk
C00422,637,1,481.2,1,Low Value
C00424,214,2,208.76,3,At Risk
C00425,251,2,486.44,3,At Risk
C00426,74,4,3023.25,0,Potential Loyalists
C00428,390,1,1743.54,1,Low Value
C00429,26,2,1477.02,3,At Risk
C00430,362,3,1632.2,1,Low Value
C00433,1,16,2548.8199999999997,2,Loyal Customers
C00434,8,8,1219.72,0,Potential Loyalists
C00435,312,4,2057.73,3,At Risk
C00436,129,4,1231.23,3,At Risk
C00437,114,2,210.22000000000003,3,At Risk
C00438,12,3,537.1999999999999,3,At Risk
C00439,110,5,1000.54,3,At Risk
C00440,12,12,4736.29,2,Loyal Customers
C00441,327,2,577.45,1,Low Value
C00442,265,7,3555.5099999999998,0,Potential Loyalists
C00443,72,1,213.19,3,At Risk
C00446,60,3,756.39,3,At Risk
C00447,97,14,4634.2,2,Loyal Customers
C00448,358,2,893.74,1,Low Value
C00450,45,12,6009.82,2,Loyal Customers
C00451,34,11,5580.24,2,Loyal Customers
C00452,26,9,2382.39,0,Potential Loyalists
C00453,13,15,4815.48,2,Loyal Customers
C00454,9,4,787.41,3,At Risk
C00455,62,10,7145.77,2,Loyal Customers
C00456,238,3,1104.85,3,At Risk
C00457,4,14,5101.63,2,Loyal Customers
C00458,394,5,1748.3600000000001,1,Low Value
C00459,524,2,277.79,1,Low Value
C00460,102,8,8689.04,2,Loyal Customers
C00462,216,1,174.64,3,At Risk
C00464,19,15,3808.87,2,Loyal Customers
C00466,325,1,199.87,1,Low Value
C00467,159,3,1957.03,3,At Risk
C00468,26,20,6656.8099999999995,2,Loyal Customers
C00469,54,1,241.38,3,At Risk
C00470,135,6,3155.48,0,Potential Loyalists
C00471,15,12,2780.98,0,Potential Loyalists
C00472,126,3,454.65,3,At Risk
C00473,382,3,999.0500000000001,1,Low Value
C00474,49,7,1465.4899999999998,0,Potential Loyalists
C00475,66,5,1323.96,3,At Risk
C00476,394,5,3013.9399999999996,1,Low Value
C00477,227,1,302.75,3,At Risk
C00478,38,16,3980.12,2,Loyal Customers
C00479,174,3,3416.25,3,At Risk
C00480,6,5,1074.4299999999998,3,At Risk
C00481,29,6,2708.7200000000003,0,Potential Loyalists
C00483,45,7,1237.75,0,Potential Loyalists
C00484,86,9,1543.8,0,Potential Loyalists
C00485,56,8,2288.61,0,Potential Loyalists
C00486,77,3,897.64,3,At Risk
C00487,244,2,1436.39,3,At Risk
C00488,123,5,997.06,3,At Risk
C00490,315,1,36.9,1,Low Value
C00491,6,22,7733.32,2,Loyal Customers
C00492,549,2,389.74,1,Low Value
C00493,2,17,8329.98,2,Loyal Customers
C00494,462,2,152.06,1,Low Value
C00496,5,4,1713.3600000000001,3,At Risk
C00497,2,5,3787.05,0,Potential Loyalists
C00498,64,2,444.09000000000003,3,At Risk
C00499,9,1,69.77,3,At Risk
C00500,197,14,1574.89,0,Potential Loyalists
C00501,34,2,381.15,3,At Risk
C00502,597,1,36.53,1,Low Value
C00503,630,1,166.31,1,Low Value
C00504,6,5,3782.0299999999997,0,Potential Loyalists
C00505,717,1,153.07,1,Low Value
C00506,182,3,663.98,3,At Risk
C00507,313,1,73.8,1,Low Value
C00510,472,2,399.28,1,Low Value
C00511,166,3,977.0600000000001,3,At Risk
C00512,23,9,4947.11,0,Potential Loyalists
C00513,180,2,2147.1,3,At Risk
C00515,97,7,1893.4599999999998,0,Potential Loyalists
C00517,151,7,2596.9,0,Potential Loyalists
C00518,6,21,7659.88,2,Loyal Customers
C00519,196,5,2656.85,3,At Risk
C00520,52,8,1761.74,0,Potential Loyalists
C00521,62,4,2423.72,0,Potential Loyalists
C00522,46,5,1023.47,3,At Risk
C00523,52,7,2000.9299999999998,0,Potential Loyalists
C00524,475,2,399.13,1,Low Value
C00526,225,4,1541.49,3,At Risk
C00527,154,5,980.95,3,At Risk
C00528,223,3,1357.1799999999998,3,At Risk
C00529,75,14,2722.36,0,Potential Loyalists
C00530,259,1,33.21,3,At Risk
C00531,642,2,154.74,1,Low Value
C00532,120,7,5539.9,0,Potential Loyalists
C00533,64,3,521.5,3,At Risk
C00534,81,7,1224.11,0,Potential Loyalists
C00535,465,1,151.42,1,Low Value
C00537,15,1,89.14,3,At Risk
C00538,6,12,3645.01,0,Potential Loyalists
C00539,525,1,139.63,1,Low Value
C00540,61,10,7022.59,2,Loyal Customers
C00541,115,2,137.67000000000002,3,At Risk
C00542,125,5,1768.61,3,At Risk
C00543,198,5,1251.37,3,At Risk
C00544,88,15,4696.09,2,Loyal Customers
C00545,108,8,5259.409999999999,0,Potential Loyalists
C00546,101,3,2766.04,3,At Risk
C00547,424,1,138.72,1,Low Value
C00548,92,3,451.34000000000003,3,At Risk
C00549,1,4,927.8399999999999,3,At Risk
C00550,118,17,5020.09,2,Loyal Customers
C00551,10,1,609.56,3,At Risk
C00552,180,1,44.12,3,At Risk
C00554,7,2,1340.72,3,At Risk
C00556,51,20,10133.7,4,VIP Customers
C00557,526,4,917.22,1,Low Value
C00558,4,9,2778.45,0,Potential Loyalists
C00559,2,12,3873.05,0,Potential Loyalists
C00560,79,2,179.04000000000002,3,At Risk
C00561,433,1,369.42,1,Low Value
C00563,3,16,7420.95,2,Loyal Customers
C00564,333,1,266.76,1,Low Value
C00565,89,4,2062.13,3,At Risk
C00566,18,1,241.25,3,At Risk
C00567,59,4,946.87,3,At Risk
C00568,168,3,544.7,3,At Risk
C00569,151,2,343.65999999999997,3,At Risk
C00570,112,9,4038.18,0,Potential Loyalists
C00571,2,10,6139.98,2,Loyal Customers
C00572,188,3,653.3,3,At Risk
C00573,33,3,2590.0800000000004,3,At Risk
C00574,13,15,2822.61,2,Loyal Customers
C00576,8,10,2214.13,0,Potential Loyalists
C00577,524,1,155.42,1,Low Value
C00578,17,7,2415.88,0,Potential Loyalists
C00579,234,5,1719.9699999999998,3,At Risk
C00580,422,4,1154.9099999999999,1,Low Value
C00581,46,11,2498.29,0,Potential Loyalists
C00583,611,1,87.67,1,Low Value
C00584,30,6,4101.07,0,Potential Loyalists
C00585,10,12,4289.55,2,Loyal Customers
C00587,128,7,3164.73,0,Potential Loyalists
C00589,465,2,1208.15,1,Low Value
C00590,270,6,1241.66,3,At Risk
C00591,171,1,103.14,3,At Risk
C00592,377,4,543.1,1,Low Value
C00593,286,2,505.98,3,At Risk
C00594,128,1,41.91,3,At Risk
C00595,22,8,5485.28,0,Potential Loyalists
C00596,429,5,463.7,1,Low Value
C00597,537,1,294.77,1,Low Value
C00598,682,1,261.41,1,Low Value
C00599,74,1,331.88,3,At Risk
C00600,564,2,276.61,1,Low Value
C00601,30,14,7659.08,2,Loyal Customers
C00602,96,10,3786.67,0,Potential Loyalists
C00603,544,1,135.52,1,Low Value
C00605,131,13,6018.75,2,Loyal Customers
C00606,37,5,1118.67,3,At Risk
C00607,280,1,987.17,3,At Risk
C00608,76,5,1057.44,3,At Risk
C00609,193,4,1277.0,3,At Risk
C00610,210,4,890.9300000000001,3,At Risk
C00611,11,16,9840.57,2,Loyal Customers
C00612,130,7,5460.3,0,Potential Loyalists
C00615,78,1,608.76,3,At Risk
C00616,122,6,2491.0600000000004,0,Potential Loyalists
C00617,139,1,454.33,3,At Risk
C00619,72,16,7540.67,2,Loyal Customers
C00620,335,1,28.72,1,Low Value
C00623,513,2,634.78,1,Low Value
C00624,644,1,78.38,1,Low Value
C00625,101,12,4075.06,0,Potential Loyalists
C00626,80,5,1486.6100000000001,3,At Risk
C00628,204,3,590.55,3,At Risk
C00629,111,2,444.46,3,At Risk
C00630,206,1,139.63,3,At Risk
C00632,68,12,4286.23,2,Loyal Customers
C00633,343,2,747.44,1,Low Value
C00634,68,2,1144.7,3,At Risk
C00635,279,2,1199.5300000000002,3,At Risk
C00636,213,2,1023.76,3,At Risk
C00638,286,2,455.9,3,At Risk
C00639,399,1,570.14,1,Low Value
C00640,50,9,2341.8,0,Potential Loyalists
C00641,162,3,1741.62,3,At Risk
C00642,127,2,578.71,3,At Risk
C00643,11,6,704.04,3,At Risk
C00644,214,7,5851.51,0,Potential Loyalists
C00647,116,4,1071.82,3,At Risk
C00648,84,4,1948.2900000000002,3,At Risk
C00649,429,1,193.83,1,Low Value
C00650,47,2,1664.5700000000002,3,At Risk
C00653,509,2,196.5,1,Low Value
C00654,154,5,2126.11,3,At Risk
C00655,104,10,3591.0499999999997,0,Potential Loyalists
C00656,54,4,1965.6899999999998,3,At Risk
C00657,276,4,1324.8,3,At Risk
C00658,374,5,2047.16,1,Low Value
C00659,112,5,4015.48,0,Potential Loyalists
C00661,220,9,2420.66,0,Potential Loyalists
C00662,38,34,15904.25,4,VIP Customers
C00664,497,1,187.37,1,Low Value
C00665,305,1,261.41,1,Low Value
C00666,213,5,1967.35,3,At Risk
C00667,714,2,593.37,1,Low Value
C00668,110,1,2054.57,3,At Risk
C00669,64,3,766.04,3,At Risk
C00670,186,1,76.7,3,At Risk
C00671,46,5,3264.4700000000003,0,Potential Loyalists
C00672,13,8,3792.83,0,Potential Loyalists
C00673,127,4,1185.5800000000002,3,At Risk
C00674,112,4,1655.1899999999998,3,At Risk
C00675,42,7,1347.55,0,Potential Loyalists
C00676,71,5,1136.14,3,At Risk
C00677,1,7,1878.5500000000002,0,Potential Loyalists
C00678,9,5,1721.84,0,Potential Loyalists
C00679,120,5,1640.74,3,At Risk
C00680,28,10,7066.17,2,Loyal Customers
C00681,4,3,1368.04,3,At Risk
C00682,305,3,630.38,1,Low Value
C00683,715,1,42.6,1,Low Value
C00684,546,1,169.96,1,Low Value
C00686,222,3,223.66,3,At Risk
C00687,42,5,625.53,3,At Risk
C00688,65,18,11792.939999999999,4,VIP Customers
C00689,42,2,1076.12,3,At Risk
C00690,239,2,2984.29,3,At Risk
C00693,127,8,8097.11,2,Loyal Customers
C00695,66,4,1640.3899999999999,3,At Risk
C00696,380,1,94.38,1,Low Value
C00697,312,3,450.56,1,Low Value
C00698,74,11,3644.35,0,Potential Loyalists
C00699,649,1,13.43,1,Low Value
C00700,17,3,279.11,3,At Risk
C00701,89,15,3485.65,2,Loyal Customers
C00702,52,9,4174.05,0,Potential Loyalists
C00703,264,2,66.81,3,At Risk
C00704,185,1,152.96,3,At Risk
C00706,530,1,124.11,1,Low Value
C00707,97,15,5373.6,2,Loyal Customers
C00708,359,2,733.48,1,Low Value
C00709,531,2,231.7,1,Low Value
C00710,354,6,2145.1200000000003,1,Low Value
C00711,465,1,269.8,1,Low Value
C00712,38,4,416.8,3,At Risk
C00713,10,25,8158.63,4,VIP Customers
C00714,102,8,3540.96,0,Potential Loyalists
C00715,2,7,2494.41,0,Potential Loyalists
C00716,611,1,691.81,1,Low Value
C00717,33,6,1329.54,3,At Risk
C00718,132,2,1376.29,3,At Risk
C00719,6,6,463.43,3,At Risk
C00720,12,23,5132.49,2,Loyal Customers
C00721,173,2,810.39,3,At Risk
C00722,130,3,1045.7,3,At Risk
C00723,79,6,2524.68,0,Potential Loyalists
C00725,2,9,4354.27,0,Potential Loyalists
C00726,474,2,315.3,1,Low Value
C00727,89,5,701.11,3,At Risk
C00728,637,1,183.34,1,Low Value
C00729,126,14,3597.07,2,Loyal Customers
C00730,273,2,100.24,3,At Risk
C00731,271,1,348.95,3,At Risk
C00732,408,1,52.02,1,Low Value
C00733,12,14,5620.4400000000005,2,Loyal Customers
C00734,91,5,1543.9,3,At Risk
C00735,106,12,10660.710000000001,2,Loyal Customers
C00736,141,4,4073.1499999999996,0,Potential Loyalists
C00737,261,1,268.2,3,At Risk
C00739,234,5,3047.26,0,Potential Loyalists
C00741,23,21,7735.61,2,Loyal Customers
C00742,248,3,908.39,3,At Risk
C00743,274,5,1037.12,3,At Risk
C00745,346,5,2908.65,1,Low Value
C00746,81,2,93.77,3,At Risk
C00748,544,3,183.73999999999998,1,Low Value
C00749,276,6,2086.95,3,At Risk
C00750,6,8,2000.62,0,Potential Loyalists
C00751,562,1,452.9,1,Low Value
C00753,631,1,29.39,1,Low Value
C00754,43,7,3846.11,0,Potential Loyalists
C00755,643,1,97.98,1,Low Value
C00757,18,14,11053.63,2,Loyal Customers
C00758,105,9,1639.8500000000001,0,Potential Loyalists
C00759,50,23,8206.72,4,VIP Customers
C00760,104,10,3885.83,0,Potential Loyalists
C00763,29,3,1819.94,3,At Risk
C00765,26,11,4732.54,2,Loyal Customers
C00766,49,9,4690.95,0,Potential Loyalists
C00767,28,7,2405.55,0,Potential Loyalists
C00768,219,3,589.53,3,At Risk
C00769,91,8,4792.85,0,Potential Loyalists
C00770,135,18,5942.83,2,Loyal Customers
C00772,2,10,6664.759999999999,2,Loyal Customers
C00773,311,1,62.06,1,Low Value
C00775,29,5,1915.9099999999999,0,Potential Loyalists
C00776,25,5,513.85,3,At Risk
C00778,406,3,1180.54,1,Low Value
C00779,49,24,9795.67,4,VIP Customers
C00780,137,7,1072.9099999999999,3,At Risk
